제목,평점,참여명수,예매율,개요,감독,배우,상영 시간,개봉일
샹치와 텐 링즈의 전설,6.76,"5,125",17.41%,"액션,모험,판타지",데스틴 크리튼,"시무 리우,양조위,아콰피나",132분,2021.09.01
바쿠라우,7.89,19,7.15%,"미스터리,스릴러,서부","클레버 멘돈사 필로,줄리아노 도르넬레스","우도 키에르,소냐 브라가,토마스 아퀴노",131분,2021.09.02
최선의 삶,8.87,84,6.46%,드라마,이우정,"방민아,심달기,한성민",109분,2021.09.01
건파우더 밀크셰이크,6.30,108,6.02%,액션,나봇 파푸샤도,"카렌 길런,레나 헤디,안젤라 바셋,양자경,칼라 구기노,폴 지아마티",115분,2021.09.08
인질,7.36,"3,696",5.77%,"액션,스릴러",필감성,"황정민,김재범,이유미,류경수,정재원,이규원,이호정",94분,2021.08.18
쇼미더고스트,0.00,0,5.33%,"코미디,공포",김은경,"한승연,김현목,홍승범",83분,2021.09.09
코다,9.36,336,5.03%,드라마,션 헤이더,"에밀리아 존스,퍼디아 월시-필로,트로이 코처,다니엘 듀런트,말리 매트린,에우헤니오 데르베스,에이미 포사이스",111분,2021.08.31
맨 인 더 다크 2 ,8.14,383,3.8%,"범죄,공포,스릴러",로도 사야구에즈,"스티븐 랭,매들린 그레이스,브렌단 섹스톤",98분,2021.09.01
좋은 사람,7.00,1,3.4%,"서스펜스,미스터리",정욱,"김태훈,이효제,김현정,김종구,박채은",101분,2021.09.09
슈퍼문,0.00,0,2.42%,"애니메이션,모험,코미디",홍대영,"송유미,김정훈,이승준,정영수",74분,2021.09.09
모가디슈,8.33,"13,761",2.32%,"액션,드라마",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식",121분,2021.07.28
습도 다소 높음,8.47,47,1.97%,"코미디,드라마",고봉수,"백승환,이희준,고주환,차유미,김충길",77분,2021.09.01
내가 날 부를 때,10.00,1,1.82%,드라마,인뤄신,"장쯔펑,샤오양,주원원,양정강,김요원",127분,2021.09.09
죽을 때까지,0.00,0,1.48%,스릴러,스콧 데일,"메간 폭스,이오인 맥큰,칼란 멀베이",90분,2021.09.09
싱크홀,6.78,"5,803",1.13%,드라마,김지훈,"차승원,김성균,이광수,김혜준",113분,2021.08.11
사랑에 관한 짧은 필름,8.67,147,1.08%,"드라마,멜로/로맨스",크쥐시토프 키에슬로프스키,"그라지나 자폴로스카,올라프 루바젠코",87분,2016.09.17
생각의 여름,8.28,43,1.04%,드라마,김종재,"김예은,곽민규,오규철,한해인,신기환",82분,2021.08.12
너의 이름은.,8.79,"32,748",1.04%,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네",106분,2021.09.09
살인에 관한 짧은 필름,8.15,65,0.84%,"드라마,범죄",크쥐시토프 키에슬로프스키,크지슈토프 글로비쉬,84분,2016.09.17
리스펙트,8.00,4,0.74%,드라마,리슬 타미,제니퍼 허드슨,145분,2021.09.08
날씨의 아이,7.95,"6,045",0.64%,애니메이션,신카이 마코토,"심규혁,김유림,최한,강은애,이장원,손정아,다이고 코타로,모리 나나,오구리 슌,혼다 츠바사,히라이즈미 세이",112분,2021.09.09
꽃다발 같은 사랑을 했다,9.09,349,0.54%,멜로/로맨스,도이 노부히로,"아리무라 카스미,스다 마사키,키요하라 카야,호소다 카나타",123분,2021.07.14
여름날 우리,8.99,281,0.54%,"멜로/로맨스,코미디",한톈,"허광한,장약남",115분,2021.08.25
노매드랜드,8.47,629,0.54%,드라마,클로이 자오,프란시스 맥도맨드,108분,2021.04.15
레미니센스,7.01,348,0.39%,"SF,미스터리,멜로/로맨스",리사 조이,"휴 잭맨,레베카 퍼거슨,탠디 뉴튼",115분,2021.08.25
꿈꾸는 고양이,0.00,0,0.39%,다큐멘터리,"지원,강민현",남기형,74분,2021.09.09
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,0.00,0,0.35%,애니메이션,코다이 카키모토,출연 배우 없음,71분,2021.09.09
프리 가이,9.11,"1,750",0.3%,"액션,모험",숀 레비,라이언 레이놀즈,115분,2021.08.11
자마,7.29,14,0.3%,드라마,루크레시아 마르텔,다니엘 기메네즈 카쵸,115분,2021.08.26
분노,8.56,"1,307",0.25%,"스릴러,드라마",이상일,"와타나베 켄,모리야마 미라이,마츠야마 켄이치,아야노 고,히로세 스즈,미야자키 아오이,츠마부키 사토시",142분,2017.03.30
캡틴 판타스틱,8.59,452,0.2%,드라마,맷 로스,"비고 모텐슨,조지 맥케이,사만다 이슬러,애너리즈 바쏘,니콜라스 해밀턴,슈리 크룩스,찰리 쇼트웰",119분,2020.12.03
스네이크 아이즈: 지.아이.조,0.00,0,0.2%,"액션,모험,판타지",로베르트 슈벤트케,"헨리 골딩,우슬라 코르베로,앤드류 코지",121분,2021.09.09
해변의 에트랑제,8.03,135,0.2%,"애니메이션,멜로/로맨스",오오하시 아키요,"심규혁,이경태,무라타 타이시,마츠오카 요시츠구,시마무라 유우,이토 카나에",59분,2021.09.09
퍼피 구조대 더 무비,9.54,79,0.2%,애니메이션,캘런 브런커,"정선혜,신용우,김새해,엄상현,박지윤,문남숙,전숙경,은영선,사성웅",86분,2021.08.18
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,16,0.2%,"애니메이션,액션,판타지",아라이 카즈토,"미야노 마모루,시마자키 노부나가,타카하시 리에,사카모토 마아야,카와스미 아야코,미즈시마 타카히로",96분,2021.08.26
박강아름 결혼하다,9.57,35,0.15%,다큐멘터리,박강아름,"박강아름,정성만",86분,2021.08.19
그린 나이트,7.63,385,0.15%,"모험,드라마,판타지",데이빗 로워리,"데브 파텔,알리시아 비칸데르,조엘 에저튼,사리타 초우드리,랄프 이네슨,케이트 딕키,배리 케오간,숀 해리스",130분,2021.08.05
남색대문,8.23,62,0.1%,"드라마,멜로/로맨스",이치엔,"계륜미,진백림,양우림",83분,2021.08.18
귀문,4.64,620,0.1%,"미스터리,스릴러,공포",심덕근,"김강우,김소혜,이정형,홍진기,엄채영",85분,2021.08.25
갈매기,8.94,65,0.1%,드라마,김미조,정애화,75분,2021.07.28
올드,6.72,731,0.1%,"스릴러,공포",M. 나이트 샤말란,"가엘 가르시아 베르날,빅키 크리엡스,토마신 맥켄지,알렉스 울프",108분,2021.08.18
나는 나대로 혼자서 간다,7.96,27,0.1%,드라마,오키타 슈이치,"다나카 유코,아오이 유우,히가시데 마사히로",138분,2021.07.15
사운드 오브 데스,8.67,6,0.1%,"공포,범죄,스릴러",알렉스 노이어,"자스민 사보이 브라운,릴리 시몬스,제임스 재거,테사 먼로",94분,2021.09.09
이도공간,8.29,225,예매 정보 없음,스릴러,나지량,"장국영,임가흔",100분,2021.07.21
사제로부터 온 편지,9.83,6,0.1%,"다큐멘터리,드라마",최종태,"김학렬,김용태,김옥희,변기영,서종태,원재연,이용호,지철현,김수형,김남혁,김윤찬,윤지수,박용준,김일현,최지영,김주헌,박요한,하태성,안동현,이선행,장만수,정화자,강병걸,최재원,송예은,이혜원",100분,2021.08.19
중경삼림,8.92,"2,577",0.05%,드라마,왕가위,"임청하,양조위,왕페이,금성무",102분,2021.03.04
팜 스프링스,8.25,61,0.05%,"코미디,멜로/로맨스,판타지",맥스 바바코우,"앤디 샘버그,크리스틴 밀리오티,J.K. 시몬스",90분,2021.08.19
"조제, 호랑이 그리고 물고기들",9.00,228,0.05%,"애니메이션,드라마",타무라 코타로,"나카가와 타이시,키요하라 카야",98분,2021.09.09
캐논볼,8.71,28,0.05%,"드라마,가족",정승민,"김현목,김해나",77분,2021.08.25
콰이강의 다리,8.87,202,0.05%,"전쟁,모험,드라마",데이빗 린,"윌리엄 홀든,잭 호킨스,알렉 기네스,하야카와 세슈,제임스 도널드,제프리 호른",155분,1981.04.10
소셜 네트워크,7.84,"2,865",0.05%,드라마,데이빗 핀처,"제시 아이젠버그,앤드류 가필드,저스틴 팀버레이크,아미 해머",120분,2021.09.02
인트로덕션,7.68,92,0.05%,,홍상수,"신석호,박미소,예지원,기주봉,서영화,김민희,조윤희,하성국,조소연",상영 시간 미공개,2021.05.27
흩어진 밤,7.68,31,0.05%,드라마,"이지형,김솔","문승아,최준우,김채원,임호준",81분,2021.06.24
잘리카투,7.55,31,0.05%,"액션,스릴러",리조 조세 펠리세리,안토니 바기스,93분,2021.08.05
사냥의 시간,5.67,"9,588",예매 정보 없음,스릴러,윤성현,"이제훈,안재홍,최우식,박정민,박해수",134분,2020.04.23
켈리 갱,7.43,7,0.05%,"범죄,액션,드라마",저스틴 커젤,"조지 맥케이,러셀 크로우,니콜라스 홀트,에시 데이비스,토마신 맥켄지,찰리 허냄",125분,2021.08.31
묵향,5.33,3,0.01%,공연실황,정구호,출연 배우 없음,59분,2021.09.02
아담,7.50,6,0.01%,드라마,마리암 투자니,"루브나 아자발,니스린 에라디,두아이 벨카우다,아지즈 하타브",101분,2021.08.25
그대 너머에,7.50,4,0.01%,멜로/로맨스,박홍민,"김권후,윤혜리,오민애",119분,2021.09.09
블랙 위도우,8.47,"7,253",0.01%,"액션,모험,SF",케이트 쇼트랜드,"스칼릿 조핸슨,플로렌스 퓨,레이첼 와이즈,데이빗 하버",134분,2021.07.07
언더그라운드,8.00,5,0.01%,다큐멘터리,김정근,출연 배우 없음,97분,2021.08.19
피닉스,8.45,66,0.01%,드라마,크리스티안 펫졸드,"니나 호스,로날드 제르필드,니나 쿤젠도르프",98분,2021.07.22
교실 안의 야크,9.40,173,0.01%,드라마,파우 초이닝 도르지,"셰랍 도르지,펨 잠,켈든 라모 구룽,유겐 노르부 렌덥,체링 도르지",109분,2020.09.30
다이노 마이 프렌드,6.14,14,0.01%,"애니메이션,모험",종유,출연 배우 없음,74분,2021.08.26
더 수어사이드 스쿼드,7.06,"2,244",0.01%,"액션,모험,판타지,미스터리,SF",제임스 건,"마고 로비,이드리스 엘바,존 시나,조엘 킨나만,실베스터 스탤론,비올라 데이비스",132분,2021.08.04
숏버스 감성행,8.30,10,0.01%,멜로/로맨스,"강인석,안다훈,박경진","이문규,정유민,박영빈,한서연,김진태",93분,2021.08.19
하이큐!! 땅 VS 하늘,8.51,177,0.01%,애니메이션,미츠나카 스스무,"구자형,김영선,양정화,최승훈,남도형,나카무라 유이치,카지 유우키",46분,2021.08.12
오필리아,7.84,85,0.01%,"드라마,멜로/로맨스",클레어 맥카시,"데이지 리들리,조지 맥케이,나오미 왓츠,클라이브 오웬",106분,2021.07.14
"우리, 둘",9.14,44,0.01%,"드라마,멜로/로맨스",필리포 메네게티,"바바라 수코바,마틴 슈발리에",95분,2021.07.28
은혼 더 파이널,9.44,256,0.01%,애니메이션,미야와키 치즈루,"스기타 토모카즈,사카구치 다이스케,쿠기미야 리에,이시다 아키라,코야스 타케히토",104분,2021.07.22
69세,8.64,"7,597",0.01%,드라마,임선애,"예수정,기주봉,김준경",100분,2020.08.20
너의 췌장을 먹고 싶어,8.39,"1,070",0.01%,"애니메이션,드라마",우시지마 신이치로,"타카스기 마히로,린",109분,2018.11.15
암살자들,8.92,52,0.01%,다큐멘터리,라이언 화이트,출연 배우 없음,104분,2021.08.12
올리버 색스: 그의 생애,9.33,3,0.01%,다큐멘터리,릭 번스,"올리버 색스,빌 헤이스,케이트 에드거,로렌스 웨슐러",114분,2021.08.26
윤희에게,8.97,"2,587",0.01%,멜로/로맨스,임대형,"김희애,김소혜,성유빈,나카무라 유코,키노 하나",105분,2019.11.14
화양연화,8.77,"1,897",0.01%,"드라마,멜로/로맨스",왕가위,"장만옥,양조위",99분,2020.12.24
갈매기,8.08,142,0.01%,드라마,마이클 메이어,"시얼샤 로넌,아네트 베닝,빌리 하울,코리 스톨",98분,2018.12.13
강변호텔,6.00,410,0.01%,드라마,홍상수,기주봉,95분,2019.03.27
기담,7.49,"4,088",0.01%,공포,"정식,정범식","진구,이동규,김태우,김보경",98분,2021.07.14
너와 파도를 탈 수 있다면,8.58,320,0.01%,"애니메이션,멜로/로맨스",유아사 마사아키,"카타요세 료타,카와에이 리나",96분,2020.07.08
너의 췌장을 먹고 싶어,8.10,"4,909",0.01%,드라마,츠키카와 쇼,"하마베 미나미,키타무라 타쿠미",115분,2017.10.25
더 나이트,5.08,12,0.01%,"공포,스릴러",코우로시 아하리,샤하브 호세이니,105분,2021.07.21
더스트맨,8.30,50,0.01%,드라마,김나경,"우지현,심달기,강길우,민경진",92분,2021.04.07
데미지,7.52,223,0.01%,"드라마,멜로/로맨스",루이 말,"줄리엣 비노쉬,제레미 아이언스",111분,2021.08.26
독전,7.52,"18,811",0.01%,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준",123분,2018.07.18
릴리 슈슈의 모든 것,8.11,"1,350",0.01%,드라마,이와이 슌지,"이치하라 하야토,오시나리 슈고",145분,2021.08.08
메리 크리스마스 미스터 모,8.89,83,0.01%,블랙코미디,임대형,"기주봉,오정환,고원희",101분,2017.12.14
몽마르트 파파,9.46,169,0.01%,다큐멘터리,민병우,"민형식,이운숙,민병우",83분,2020.11.19
바울,9.17,"1,991",0.01%,드라마,앤드류 하얏트,"제임스 폴크너,제임스 카비젤",107분,2018.10.31
번지 점프를 하다,8.98,"2,611",0.01%,멜로/로맨스,김대승,"이병헌,이은주",101분,2017.11.02
베로니카의 이중 생활,8.20,147,0.01%,"드라마,판타지,멜로/로맨스",크쥐시토프 키에슬로프스키,"이렌느 야곱,필립 볼터,샌드린 듀마스",98분,2016.06.23
북샵,8.74,27,0.01%,드라마,이자벨 코이젯트,"에밀리 모티머,빌 나이,패트리시아 클락슨",112분,2021.06.24
빛나는 순간,8.48,264,0.01%,드라마,소준문,"고두심,지현우",95분,2021.06.30
세 가지 색 : 레드,8.30,94,0.01%,드라마,크쥐시토프 키에슬로프스키,"이렌느 야곱,장-루이 트린티냥",99분,1994.09.17
세 가지 색 : 블루,8.37,173,0.01%,드라마,크쥐시토프 키에슬로프스키,"줄리엣 비노쉬,베누아 레전트,플로렌스 퍼넬,샤롯 베리,헬렌 벤상,필립 볼터,클로드 뒤네톤,위그 케스테",100분,2016.06.02
수필러브,0.00,0,0.01%,,홍두표,"김희철,이봄",상영 시간 미공개,2021.09.01
신세계,8.94,"21,746",0.01%,"범죄,드라마",박훈정,"이정재,최민식,황정민",134분,2020.05.21
신은 죽지 않았다 3: 어둠 속의 빛,8.29,417,0.01%,드라마,마이클 메이슨,"데이빗 A.R. 화이트,존 코베트,쉐인 하퍼,테드 맥긴리,테이텀 오닐",105분,2018.07.19
악녀,6.97,"9,379",0.01%,액션,정병길,"김옥빈,신하균,성준,김서형,조은지",123분,2017.06.08
에로스,6.79,92,0.01%,드라마,"왕가위,스티븐 소더버그,미켈란젤로 안토니오니","공리,장첸",108분,2005.06.30
우리의 20세기,8.25,579,0.01%,드라마,마이크 밀스,"아네트 베닝,엘르 패닝,그레타 거윅,루카스 제이드 주만,빌리 크루덥",119분,2017.09.27
이별의 아침에 약속의 꽃을 장식하자,8.91,"1,436",0.01%,"애니메이션,드라마",오카다 마리,"이와미 마나카,이리노 미유,카야노 아이",115분,2020.05.06
이스케이프 룸 2: 노 웨이 아웃,8.31,577,0.01%,"액션,공포,스릴러",애덤 로비텔,"테일러 러셀,로건 밀러",88분,2021.07.14
이중섭의 아내,7.20,25,0.01%,다큐멘터리,사카이 아츠코,"야마모토 마사코,야마모토 야스나리",82분,2016.09.08
정말 먼 곳,8.13,117,0.01%,드라마,박근영,"강길우,홍경,이상희,기주봉,기도영,최금순,김시하",115분,2021.03.18
천로역정: 천국을 찾아서,8.84,"1,040",0.01%,"애니메이션,모험",로버트 페르난데스,"존 라이스 데이비스,벤 프라이스",113분,2019.06.13
크레센도,9.02,40,0.01%,드라마,드로 자하비,"페테르 시모니슈에크,다니엘 돈스코이,사브리나 아마리,메흐디 메스카르,비비아나 베글라우,괴츠 오토",112분,2021.06.24
트립 투 그리스,5.70,43,0.01%,"코미디,드라마",마이클 윈터바텀,"스티브 쿠건,롭 브라이든",103분,2021.07.08
하나와 앨리스,8.11,"1,609",0.01%,멜로/로맨스,이와이 슌지,"아오이 유우,스즈키 안,카쿠 토모히로",135분,2014.07.10
학교 가는 길,9.58,155,0.01%,다큐멘터리,김정인,"이은자,정난모,조부용,장민희,김남연",99분,2021.05.05
해피 투게더,9.19,"1,165",0.01%,드라마,왕가위,"장국영,양조위,장첸",97분,2021.02.04
호우시절,7.40,"1,917",0.01%,멜로/로맨스,허진호,"정우성,고원원",100분,2009.10.08
극장판 도라에몽: 진구의 신공룡,9.06,116,예매 정보 없음,"애니메이션,모험",이마이 카즈아키,"윤아영,김정아,최낙윤,이현주,조현정,미즈타 와사비,오오하라 메구미,키무라 스바루,세키 토모카즈,카카즈 유미",110분,2021.08.05
뉴욕의 왕,8.94,18,예매 정보 없음,"코미디,드라마",찰리 채플린,찰리 채플린,100분,1990.12.29
라임라이트,9.36,88,예매 정보 없음,"코미디,드라마",찰리 채플린,"찰리 채플린,클레어 브룸",138분,1989.08.26
모던 타임즈,9.33,"1,200",예매 정보 없음,코미디,찰리 채플린,"찰리 채플린,파울레트 고다드",87분,2015.03.19
미스 사이공: 25주년 특별 공연,9.21,280,예매 정보 없음,공연실황,브렛 설리반,"알리스태어 브래머,에바 노블자다,홍광호,존 존 브라이언스",175분,2016.11.24
서커스,9.38,45,예매 정보 없음,"코미디,가족,드라마,멜로/로맨스",찰리 채플린,찰리 채플린,72분,2015.03.26
시티 라이트,9.44,201,예매 정보 없음,"코미디,드라마,멜로/로맨스",찰리 채플린,"찰리 채플린,버지니아 쉐릴,플로렌스 리,해리 마이어스,알랜 가르시아,행크 만",86분,2015.03.26
위대한 독재자,9.24,386,예매 정보 없음,코미디,찰리 채플린,"찰리 채플린,파울레트 고다드",126분,2015.04.16
콜,7.57,"5,976",예매 정보 없음,"미스터리,스릴러",이충현,"박신혜,전종서",112분,2020.11.27
키드,9.26,151,예매 정보 없음,"코미디,드라마,가족",찰리 채플린,"찰리 채플린,에드나 펄비안스,잭키 쿠건",53분,2021.01.21
황금광시대,9.01,144,예매 정보 없음,"코미디,가족,모험",찰리 채플린,"찰리 채플린,맥 스웨인,톰 머레이,헨리 버그맨",69분,1990.02.17
